❯ ============================================================                                                             
Starting training for 350 iterations                                                                                       
============================================================                                                               
  iter   57/350 | misfit 2.001678e-09 | MSE(Vp) 8718.06  MSE(Vs) 1530.52  MSE(rho) 1883.96 | 24.6s                         
  iter   58/350 | misfit 2.001677e-09 | MSE(Vp) 8701.70  MSE(Vs) 1529.02  MSE(rho) 1880.78 | 25.0s                         
  iter   59/350 | misfit 2.001674e-09 | MSE(Vp) 8699.41  MSE(Vs) 1539.06  MSE(rho) 1891.32 | 24.7s                         
  iter   60/350 | misfit 2.001673e-09 | MSE(Vp) 8690.21  MSE(Vs) 1540.58  MSE(rho) 1887.49 | 25.4s                         
  iter   61/350 | misfit 2.001666e-09 | MSE(Vp) 8651.13  MSE(Vs) 1545.92  MSE(rho) 1877.61 | 25.7s                         
  iter   62/350 | misfit 2.001666e-09 | MSE(Vp) 8652.80  MSE(Vs) 1532.16  MSE(rho) 1881.29 | 24.7s                         
  iter   63/350 | misfit 2.001669e-09 | MSE(Vp) 8651.85  MSE(Vs) 1537.89  MSE(rho) 1884.37 | 24.4s                         
  iter   64/350 | misfit 2.001663e-09 | MSE(Vp) 8673.72  MSE(Vs) 1543.01  MSE(rho) 1876.29 | 28.4s                         
  iter   65/350 | misfit 2.001658e-09 | MSE(Vp) 8652.98  MSE(Vs) 1537.45  MSE(rho) 1870.69 | 26.4s                         
  iter   66/350 | misfit 2.001656e-09 | MSE(Vp) 8592.78  MSE(Vs) 1516.87  MSE(rho) 1874.27 | 24.0s                         
  iter   67/350 | misfit 2.001657e-09 | MSE(Vp) 8605.89  MSE(Vs) 1541.15  MSE(rho) 1877.89 | 24.3s 
